"job_id","array_job_id","array_task_id","name","job_state","user_id","user_name","group_id","cluster","partition","command","current_working_directory","batch_flag","batch_host","nodes","node_count","cpus","tasks","tasks_per_node","cpus_per_task","memory_per_node","memory_per_cpu","priority","time_limit","deadline","submit_time","preempt_time","suspend_time","eligible_time","start_time","end_time","resize_time","restart_cnt","exit_code","derived_exit_code"
3687209,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/31/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/31,true,,"{cpu-24-49,cpu-25-6,cpu-25-59}",3,40,40,0,,,4027,1182,2880,0,1635577046,0,0,1635577046,1635622224,1635645672,0,0,256,0
3687207,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/28/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/28,true,,"{cpu-25-6,cpu-25-40,cpu-25-41}",3,40,40,0,,,4027,1182,2880,0,1635577041,0,0,1635577041,1635622224,1635654908,0,0,0,0
3687205,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/26/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/26,true,,"{cpu-24-49,cpu-25-55,cpu-26-2}",3,40,40,0,,,4027,1182,2880,0,1635577036,0,0,1635577036,1635622224,1635640646,0,0,256,0
3687202,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/23/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/23,true,,"{cpu-24-20,cpu-25-55,cpu-25-57}",3,40,40,0,,,4027,1182,2880,0,1635577029,0,0,1635577029,1635622224,1635645130,0,0,256,0
3687204,0,,hyphy,FAILED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/25/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/2Relax_spider/25,true,,"{cpu-24-20,cpu-25-40,cpu-25-41}",3,40,40,0,,,4027,1182,2880,0,1635577034,0,0,1635577034,1635622224,1635638845,0,0,256,0
3687227,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/11/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/11,true,,"{cpu-23-14,cpu-25-51,cpu-25-59}",3,40,40,0,,,4027,1182,2880,0,1635578557,0,0,1635578557,1635625827,1635651876,0,0,0,0
3687226,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/9/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/9,true,,"{cpu-25-25,cpu-25-26,cpu-25-51}",3,40,40,0,,,4027,1182,2880,0,1635578549,0,0,1635578549,1635625827,1635637562,0,0,0,0
3687229,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/13/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/13,true,,"{cpu-23-34,cpu-25-51,cpu-25-59}",3,40,40,0,,,4027,1182,2880,0,1635578561,0,0,1635578561,1635625827,1635639014,0,0,0,0
3687228,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/12/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/12,true,,"{cpu-25-6,cpu-25-51,cpu-25-59}",3,40,40,0,,,4027,1182,2880,0,1635578559,0,0,1635578559,1635625827,1635637398,0,0,0,0
3687232,0,,hyphy,COMPLETED,100218,chtong,350,redraider,nocona,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/16/relax.sh,/lustre/research/linksvayer/6social_arthropods/18HyPHY/3Relax_bee/16,true,,"{cpu-23-14,cpu-24-28,cpu-25-51}",3,40,40,0,,,4027,1182,2880,0,1635578566,0,0,1635578566,1635627628,1635651751,0,0,0,0
